,Año,Trimestre,Provincia,Accesos por cada 100 hab
589,2016,3,Misiones,8
590,2016,3,Neuquén,18
591,2016,3,Río Negro,14
592,2016,3,Salta,8
593,2016,3,San Juan,7
594,2016,3,San Luis,3
595,2016,3,Santa Cruz,8
596,2016,3,Santa Fe,17
597,2016,3,Santiago Del Estero,4
598,2016,3,Tierra Del Fuego,20
599,2016,3,Tucumán,9
600,2016,2,Buenos Aires,18
601,2016,2,Capital Federal,46
602,2016,2,Catamarca,7
603,2016,2,Chaco,8
604,2016,2,Chubut,11
605,2016,2,Córdoba,18
606,2016,2,Corrientes,8
607,2016,2,Entre Ríos,13
608,2016,2,Formosa,5
609,2016,2,Jujuy,6
610,2016,2,La Pampa,20
611,2016,2,La Rioja,4
612,2016,2,Mendoza,9
613,2016,2,Misiones,8
614,2016,2,Neuquén,18
615,2016,2,Río Negro,14
616,2016,2,Salta,8
617,2016,2,San Juan,7
618,2016,2,San Luis,3
619,2016,2,Santa Cruz,8
620,2016,2,Santa Fe,16
621,2016,2,Santiago Del Estero,4
622,2016,2,Tierra Del Fuego,20
623,2016,2,Tucumán,9
624,2016,1,Buenos Aires,18
625,2016,1,Capital Federal,44
626,2016,1,Catamarca,7
627,2016,1,Chaco,8
628,2016,1,Chubut,11
629,2016,1,Córdoba,17
630,2016,1,Corrientes,8
631,2016,1,Entre Ríos,13
632,2016,1,Formosa,5
633,2016,1,Jujuy,5
634,2016,1,La Pampa,19
635,2016,1,La Rioja,4
636,2016,1,Mendoza,9
637,2016,1,Misiones,8
638,2016,1,Neuquén,17
639,2016,1,Río Negro,14
640,2016,1,Salta,8
641,2016,1,San Juan,7
642,2016,1,San Luis,3
643,2016,1,Santa Cruz,8
644,2016,1,Santa Fe,16
645,2016,1,Santiago Del Estero,4
646,2016,1,Tierra Del Fuego,20
647,2016,1,Tucumán,9
648,2015,4,Buenos Aires,18
649,2015,4,Capital Federal,45
650,2015,4,Catamarca,7
651,2015,4,Chaco,8
652,2015,4,Chubut,11
653,2015,4,Córdoba,17
654,2015,4,Corrientes,8
655,2015,4,Entre Ríos,13
656,2015,4,Formosa,5
657,2015,4,Jujuy,5
658,2015,4,La Pampa,19
659,2015,4,La Rioja,5
660,2015,4,Mendoza,9
661,2015,4,Misiones,8
662,2015,4,Neuquén,17
663,2015,4,Río Negro,14
664,2015,4,Salta,8
665,2015,4,San Juan,7
666,2015,4,San Luis,3
667,2015,4,Santa Cruz,8
668,2015,4,Santa Fe,16
669,2015,4,Santiago Del Estero,4
670,2015,4,Tierra Del Fuego,19
671,2015,4,Tucumán,9
672,2015,3,Buenos Aires,18
673,2015,3,Capital Federal,45
674,2015,3,Catamarca,7
675,2015,3,Chaco,7
676,2015,3,Chubut,11
677,2015,3,Córdoba,17
678,2015,3,Corrientes,8
679,2015,3,Entre Ríos,13
680,2015,3,Formosa,5
681,2015,3,Jujuy,5
682,2015,3,La Pampa,19
683,2015,3,La Rioja,5
684,2015,3,Mendoza,9
685,2015,3,Misiones,8
686,2015,3,Neuquén,16
687,2015,3,Río Negro,14
688,2015,3,Salta,8
689,2015,3,San Juan,7
690,2015,3,San Luis,3
691,2015,3,Santa Cruz,8
692,2015,3,Santa Fe,16
693,2015,3,Santiago Del Estero,4
694,2015,3,Tierra Del Fuego,22
