,Unnamed: 0,Partido,Localidad,ADSL,Unnamed: 4,DIALUP,FIBRAOPTICA,4G,Unnamed: 8,TELEFONIAFIJA,Unnamed: 10,SATELITAL
1805,,San Carlos,San Carlos,,--,--,SI,,--,SI,SI,
1806,,Santa Victoria,Acoyte,--,,--,--,--,,--,SI,
1807,SALTA,,Campo La Cruz,--,--,,--,--,--,,,--
1808,SALTA,,,--,--,,,--,--,,SI,--
1809,SALTA,Santa Victoria,Nazareno,,--,--,SI,,--,--,--,
1810,,Santa Victoria,Poscaya,,,--,--,,,--,--,--
1811,MISIONES,Iguazú,,SI,--,--,,SI,SI,SI,,SI
1812,MISIONES,,,--,--,,,SI,--,,SI,--
1813,MISIONES,,Arroyo del Medio,--,--,,--,SI,--,,SI,--
1814,MISIONES,,,--,--,--,,--,--,--,SI,
1815,,Leandro N. Alem,Cerro Azul,--,,--,SI,SI,,SI,SI,SI
1816,MISIONES,Leandro N. Alem,Dos Arroyos,,--,--,SI,,--,SI,,--
1817,MISIONES,,,--,--,,,SI,--,,--,
1818,MISIONES,,Leandro N. Alem,SI,SI,,SI,SI,SI,,--,
1819,MISIONES,,,--,--,,,--,--,,,--
1820,MISIONES,Leandro N. Alem,,--,--,--,,--,--,--,--,--
1821,,Leandro N. Alem,Villa Libertad (Municipio Leandro N. Alem),--,,--,--,--,,--,--,
1822,MISIONES,Libertador Grl. San Martín,Capioví,,SI,--,--,,SI,SI,SI,SI
1823,,Libertador Grl. San Martín,Capioviciño,,,--,--,,,--,--,--
1824,,Libertador Grl. San Martín,El Alcázar,--,,--,--,SI,,SI,,SI
1825,MISIONES,,,SI,SI,,,SI,SI,,SI,SI
1826,MISIONES,,Mbopicuá,--,--,,--,--,--,,--,
1827,,San Rafael,Goudge,--,,--,--,SI,,SI,,--
1828,MENDOZA,San Rafael,Jaime Prats,,--,--,--,,,SI,,--
1829,MENDOZA,San Rafael,,--,--,--,,--,--,SI,--,
1830,MENDOZA,,Las Malvinas,--,--,,--,--,--,,SI,
1831,MENDOZA,San Rafael,Los Reyunos,,--,--,--,,--,--,,--
1832,,San Rafael,Monte Comán,,,--,SI,,,SI,,--
1833,,San Rafael,Pobre Diablo,--,,--,--,SI,,--,--,--
1834,,San Rafael,Punta del Agua,,,--,SI,,,--,--,
1835,MENDOZA,,Rama Caída,--,--,,--,SI,SI,,,--
1836,MENDOZA,,,--,--,,,SI,SI,,,--
1837,,San Rafael,Salto de Las Rosas,,,SI,--,,SI,SI,SI,
1838,,San Rafael,San Rafael,SI,,SI,SI,SI,,SI,SI,--
1839,MENDOZA,San Rafael,Villa Atuel,,--,--,--,,SI,SI,,--
1840,,San Martín,PALMIRA,,,--,SI,,,--,,--
1841,MENDOZA,San Martín,,--,SI,--,,SI,SI,--,SI,SI
1842,MENDOZA,,Tres Porteñas,--,--,,SI,SI,SI,,SI,
1843,MENDOZA,,25 de Mayo,--,SI,,--,SI,SI,,,--
1844,MENDOZA,,,--,--,,,SI,SI,,,--
1845,,San Rafael,Barrio Echeverria,--,,--,--,SI,,--,--,
1846,,San Rafael,Barrio El Nevado,,,--,--,,,--,--,
1847,MENDOZA,San Rafael,,--,--,--,,--,--,,--,--
1848,MENDOZA,,Barrio Intendencia,--,--,,--,SI,SI,,,--
1849,,San Rafael,Barrio Las Rosas,--,,--,--,--,,--,--,--
1850,MENDOZA,San Rafael,Barrio Primavera,,--,--,--,,--,--,--,
1851,MENDOZA,,,--,--,,,SI,SI,,SI,--
1852,MENDOZA,San Rafael,,SI,--,SI,,--,--,SI,,SI
1853,MENDOZA,,,--,--,,,SI,SI,,--,
1854,MENDOZA,,El Nihuil,--,--,,--,--,--,,SI,--
1855,,San Rafael,El Sosneado,,,--,--,,,--,,--
1856,,San Rafael,El Tropezón,--,,--,--,--,,--,--,--
1857,MENDOZA,,La Arboleda,--,--,,--,SI,--,,SI,
1858,MENDOZA,,,--,--,,,SI,SI,--,SI,
1859,MENDOZA,Tupungato,,SI,--,--,,SI,SI,SI,SI,SI
1860,MENDOZA,,,--,--,,,--,--,,,--
1861,MISIONES,25 de Mayo,25 de Mayo,,--,--,--,,--,SI,--,SI
1862,,25 de Mayo,Alba Posse,,,--,SI,,,SI,--,
1863,,25 de Mayo,Alicia Baja,--,,--,--,--,,--,,--
1864,MISIONES,25 de Mayo,Colonia Alicia,,--,--,--,,,--,SI,--
1865,MISIONES,,Colonia Aurora,--,--,,--,SI,--,,SI,
1866,MISIONES,25 de Mayo,,--,--,,,--,--,--,SI,--
1867,,25 de Mayo,Santa Rita,,,--,SI,,,SI,,SI
1868,,Apóstoles,Apóstoles,SI,,--,SI,SI,,SI,,SI
1869,MISIONES,,,--,SI,,,SI,SI,,SI,
1870,MISIONES,Apóstoles,,--,--,--,,--,--,--,--,
1871,,Apóstoles,Estación Apóstoles,,,--,--,,,--,,--
1872,MISIONES,Apóstoles,Pindapoy,,--,--,--,,--,--,,--
1873,MISIONES,Cainguás,Aristóbulo del Valle,,,--,SI,,SI,SI,--,
1874,,Cainguás,Campo Grande,SI,,--,SI,SI,,SI,--,SI
1875,MISIONES,Cainguás,,--,--,--,,--,--,,,--
1876,MISIONES,,Dos de Mayo Núcleo II,--,--,,--,--,--,,,--
1877,,Cainguás,Dos de Mayo Núcleo III,--,,--,--,--,,--,SI,--
1878,,Cainguás,Kilómetro 17,,,--,--,,,--,--,
1879,,Cainguás,Nucleo I,--,,--,--,--,,--,,--
